prod_cycle,base_id,color,start,end
7324,40236,0,80.153,134.853
7324,40237,1,90.313,181.813
7325,40238,1,14.928,69.628
7325,40239,1,24.058,80.058
7325,40240,0,58.246,112.946
7325,40241,2,68.163,124.163
7325,40242,2,77.756,244.156
7325,40243,2,98.643,154.643
7325,40244,2,108.341,201.141
7325,40245,1,131.495,186.195
7326,40246,2,11.48,67.48
7326,40247,2,41.444,97.444
7326,40248,0,49.762,104.462
7326,40249,2,61.355,264.555
7326,40250,2,78.713,134.713
7326,40251,2,87.587,253.987
7326,40252,0,97.728,152.428
7326,40253,2,110.342,166.342
7326,40254,1,130.83,185.53
7326,40255,1,161.082,215.782
7327,40256,1,6.846,61.546
7327,40257,2,25.302,81.302
7327,40258,1,34.612,89.312
7327,40259,1,51.051,107.051
7327,40260,0,63.209,117.909
7327,40261,1,83.725,139.725
7327,40262,1,91.783,183.283
7327,40263,1,103.175,194.675
7328,40264,0,9.786,64.486
7328,40265,0,20.9,149.2
7328,40266,0,35.604,90.304
7328,40267,0,61.712,116.412
7328,40268,2,76.154,132.154
7328,40269,2,88.786,255.186
7328,40270,1,108.823,164.823
7328,40271,2,139.48,195.48
7328,40272,1,174.14,228.84
7329,40273,1,4.015,58.715
7329,40274,0,12.973,141.273
7329,40275,0,30.341,85.041
7330,40276,1,1.371,56.071
7330,40277,2,9.606,65.606
7330,40278,0,23.249,188.349
7330,40279,2,53.937,109.937
7330,40280,0,62.039,227.139
7330,40281,0,92.898,147.598
7331,40282,0,8.784,63.484
7331,40283,1,21.18,77.18
7331,40284,1,35.593,90.293
7331,40285,0,43.876,245.776
7331,40286,0,52.632,254.532
7331,40287,0,66.139,120.839
7331,40288,0,76.03,167.53
7331,40289,1,86.394,142.394
7331,40290,1,114.619,207.419
7332,40291,0,3.431,58.131
7332,40292,0,26.88,118.38
7332,40293,2,35.232,91.232
7332,40294,2,53.881,146.681
7332,40295,0,72.51,200.81
7332,40296,0,87.548,252.648
7332,40297,1,101.565,156.265
7333,40298,2,10.933,66.933
7333,40299,2,38.997,94.997
7333,40300,1,49.813,104.513
7333,40301,1,71.505,127.505
7333,40302,2,96.384,189.184
7334,40303,0,6.108,60.808
7334,40304,1,22.232,78.232
7334,40305,1,41.707,96.407
7334,40306,0,54.359,182.659
7334,40307,1,67.017,121.717
7334,40308,2,75.567,131.567
7334,40309,1,97.868,152.568
7334,40310,2,111.529,167.529
7334,40311,0,131.522,223.022
7334,40312,1,145.137,201.137
7335,40313,1,0.687,55.387
7335,40314,0,13.345,104.845
7335,40315,1,24.133,80.133
7335,40316,2,40.471,133.271
7335,40317,0,63.11,228.21
7335,40318,0,91.448,146.148
7335,40319,2,105.323,161.323
7335,40320,1,122.779,177.479
7336,40321,0,7.665,62.365
7336,40322,1,31.741,87.741
7337,40323,0,27.727,82.427
7338,40324,0,21.369,76.069
7339,40325,2,15.002,71.002
7339,40326,1,29.605,84.305
7339,40327,1,60.57,115.27
7339,40328,2,71.619,127.619
7339,40329,2,84.911,214.511
7339,40330,2,111.535,167.535
7339,40331,1,135.905,190.605
7340,40332,0,11.001,65.701
7340,40333,1,25.502,81.502
7340,40334,2,46.492,212.892
7340,40335,0,61.908,116.608
7340,40336,2,71.192,127.192
7340,40337,2,89.831,293.031
7340,40338,0,115.717,170.417
7340,40339,1,126.933,255.233
7341,40340,0,1.164,55.864
7341,40341,2,31.509,87.509
7341,40342,2,39.732,169.332
7341,40343,2,58.376,114.376
7341,40344,1,66.578,194.878
7341,40345,1,84.351,140.351
7341,40346,0,96.853,151.553
7341,40347,1,124.374,179.074
7341,40348,2,144.398,237.198
7342,40349,0,7.238,61.938
7342,40350,1,16.427,72.427
7343,40351,1,1.903,56.603
7343,40352,0,14.486,105.986
7343,40353,2,30.065,86.065
7343,40354,1,53.254,146.054
7343,40355,0,80.887,135.587
7343,40356,2,104.3,197.1
7344,40357,1,4.875,59.575
7344,40358,2,20.785,76.785
7345,40359,0,14.103,68.803
7345,40360,1,38.862,94.862
7345,40361,2,48.085,140.885
7345,40362,0,65.892,120.592
7345,40363,0,75.127,166.627
7345,40364,1,90.213,218.513
7345,40365,1,114.569,207.369
7346,40366,2,16.179,72.179
7346,40367,2,28.897,121.697
7346,40368,0,41.187,95.887
7346,40369,2,68.906,161.706
7346,40370,0,93.605,148.305
7346,40371,1,117.548,209.048
7346,40372,1,129.195,183.895
7346,40373,0,146.134,237.634
7347,40374,2,21.651,77.651
7348,40375,0,30.041,84.741
7348,40376,1,42.356,98.356
7348,40377,2,55.867,185.467
7348,40378,2,69.453,125.453
7348,40379,0,102.613,157.313
7348,40380,2,135.24,228.04
7349,40381,1,7.826,62.526
7349,40382,0,25.184,116.684
7349,40383,2,35.347,91.347
7349,40384,2,54.662,184.262
7349,40385,0,73.327,164.827
7349,40386,2,87.689,143.689
7350,40387,1,8.479,63.179
7351,40388,2,23.943,79.943
7352,40389,0,2.434,57.134
7352,40390,2,13.307,69.307
7352,40391,1,34.172,88.872
7352,40392,2,56.239,112.239
7352,40393,2,80.161,209.761
7352,40394,2,97.735,153.735
7352,40395,2,128.754,184.754
7353,40396,2,31.426,87.426
7353,40397,2,51.768,144.568
7353,40398,1,77.844,132.544
7353,40399,0,92.844,257.944
7353,40400,0,120.047,174.747
7353,40401,1,147.427,202.127
7354,40402,0,7.505,62.205
7355,40403,0,34.411,89.111
7356,40404,2,8.847,64.847
7356,40405,2,17.289,146.889
7356,40406,2,39.487,95.487
7356,40407,0,52.697,107.397
7356,40408,0,65.26,230.36
7356,40409,1,83.233,137.933
7356,40410,2,103.516,196.316
7356,40411,0,126.198,180.898
7357,40412,2,6.319,62.319
7357,40413,0,27.201,81.901
7357,40414,0,55.116,109.816
7357,40415,0,84.714,139.414
7357,40416,2,103.324,159.324
7357,40417,1,114.099,168.799
7358,40418,0,24.546,79.246
